region_1,region_2,carrier_1,timestep_2,parameter,value
mexico,bajaCalifornia,biomass,2015,useUp,2359.3
mexico,bajaCalifornia,biomass,2020,useUp,2567.12
mexico,bajaCalifornia,biomass,2025,useUp,2774.95
mexico,bajaCalifornia,biomass,2030,useUp,2982.77
mexico,bajaCalifornia,biomass,2035,useUp,3190.6
mexico,bajaCalifornia,biomass,2040,useUp,3398.42
mexico,bajaCalifornia,biomass,2045,useUp,3606.25
mexico,bajaCalifornia,biomass,2050,useUp,3814.07
mexico,bajaCaliforniaSur,biomass,2015,useUp,15990.79
mexico,bajaCaliforniaSur,biomass,2020,useUp,17399.38
mexico,bajaCaliforniaSur,biomass,2025,useUp,18807.97
mexico,bajaCaliforniaSur,biomass,2030,useUp,20216.56
mexico,bajaCaliforniaSur,biomass,2035,useUp,21625.15
mexico,bajaCaliforniaSur,biomass,2040,useUp,23033.74
mexico,bajaCaliforniaSur,biomass,2045,useUp,24442.33
mexico,bajaCaliforniaSur,biomass,2050,useUp,25850.92
mexico,central,biomass,2015,useUp,79691.79
mexico,central,biomass,2020,useUp,86711.65
mexico,central,biomass,2025,useUp,93731.51
mexico,central,biomass,2030,useUp,100751.38
mexico,central,biomass,2035,useUp,107771.24
mexico,central,biomass,2040,useUp,114791.1
mexico,central,biomass,2045,useUp,121810.96
mexico,central,biomass,2050,useUp,128830.82
mexico,noreste,biomass,2015,useUp,15553.88
mexico,noreste,biomass,2020,useUp,16923.99
mexico,noreste,biomass,2025,useUp,18294.09
mexico,noreste,biomass,2030,useUp,19664.19
mexico,noreste,biomass,2035,useUp,21034.3
mexico,noreste,biomass,2040,useUp,22404.4
mexico,noreste,biomass,2045,useUp,23774.51
mexico,noreste,biomass,2050,useUp,25144.61
mexico,noroeste,biomass,2015,useUp,5242.88
mexico,noroeste,biomass,2020,useUp,5704.71
mexico,noroeste,biomass,2025,useUp,6166.55
mexico,noroeste,biomass,2030,useUp,6628.38
mexico,noroeste,biomass,2035,useUp,7090.21
mexico,noroeste,biomass,2040,useUp,7552.05
mexico,noroeste,biomass,2045,useUp,8013.88
mexico,noroeste,biomass,2050,useUp,8475.71
mexico,norte,biomass,2015,useUp,15903.41
mexico,norte,biomass,2020,useUp,17304.3
mexico,norte,biomass,2025,useUp,18705.19
mexico,norte,biomass,2030,useUp,20106.09
mexico,norte,biomass,2035,useUp,21506.98
mexico,norte,biomass,2040,useUp,22907.87
mexico,norte,biomass,2045,useUp,24308.77
mexico,norte,biomass,2050,useUp,25709.66
mexico,occidental,biomass,2015,useUp,22020.1
mexico,occidental,biomass,2020,useUp,23959.8
mexico,occidental,biomass,2025,useUp,25899.5
mexico,occidental,biomass,2030,useUp,27839.2
mexico,occidental,biomass,2035,useUp,29778.89
mexico,occidental,biomass,2040,useUp,31718.59
mexico,occidental,biomass,2045,useUp,33658.29
mexico,occidental,biomass,2050,useUp,35597.99
mexico,oriental,biomass,2015,useUp,12014.94
mexico,oriental,biomass,2020,useUp,13073.3
mexico,oriental,biomass,2025,useUp,14131.67
mexico,oriental,biomass,2030,useUp,15190.04
mexico,oriental,biomass,2035,useUp,16248.4
mexico,oriental,biomass,2040,useUp,17306.77
mexico,oriental,biomass,2045,useUp,18365.14
mexico,oriental,biomass,2050,useUp,19423.51
mexico,peninsular,biomass,2015,useUp,5111.81
mexico,peninsular,biomass,2020,useUp,5562.1
mexico,peninsular,biomass,2025,useUp,6012.38
mexico,peninsular,biomass,2030,useUp,6462.67
mexico,peninsular,biomass,2035,useUp,6912.96
mexico,peninsular,biomass,2040,useUp,7363.24
mexico,peninsular,biomass,2045,useUp,7813.53
mexico,peninsular,biomass,2050,useUp,8263.82
usa,alabama,biomass,2015,useUp,30870.97
usa,alabama,biomass,2020,useUp,33917.29
usa,alabama,biomass,2025,useUp,37264.23
usa,alabama,biomass,2030,useUp,40941.43
usa,alabama,biomass,2035,useUp,44981.5
usa,alabama,biomass,2040,useUp,49420.24
usa,alabama,biomass,2045,useUp,54297
usa,alabama,biomass,2050,useUp,59654.98
usa,arkansas,biomass,2015,useUp,48756.18
usa,arkansas,biomass,2020,useUp,53567.4
usa,arkansas,biomass,2025,useUp,58853.39
usa,arkansas,biomass,2030,useUp,64661
usa,arkansas,biomass,2035,useUp,71041.7
usa,arkansas,biomass,2040,useUp,78052.04
usa,arkansas,biomass,2045,useUp,85754.16
usa,arkansas,biomass,2050,useUp,94216.31
usa,arizona,biomass,2015,useUp,5731.73
usa,arizona,biomass,2020,useUp,6297.33
usa,arizona,biomass,2025,useUp,6918.75
usa,arizona,biomass,2030,useUp,7601.49
usa,arizona,biomass,2035,useUp,8351.6
usa,arizona,biomass,2040,useUp,9175.72
usa,arizona,biomass,2045,useUp,10081.18
usa,arizona,biomass,2050,useUp,11075.98
usa,california,biomass,2015,useUp,48678.13
usa,california,biomass,2020,useUp,53481.65
usa,california,biomass,2025,useUp,58759.18
usa,california,biomass,2030,useUp,64557.49
usa,california,biomass,2035,useUp,70927.98
usa,california,biomass,2040,useUp,77927.09
usa,california,biomass,2045,useUp,85616.88
usa,california,biomass,2050,useUp,94065.49
usa,colorado,biomass,2015,useUp,11492.38
usa,colorado,biomass,2020,useUp,12626.44
usa,colorado,biomass,2025,useUp,13872.41
usa,colorado,biomass,2030,useUp,15241.33
usa,colorado,biomass,2035,useUp,16745.33
usa,colorado,biomass,2040,useUp,18397.75
usa,colorado,biomass,2045,useUp,20213.23
usa,colorado,biomass,2050,useUp,22207.85
usa,connecticut,biomass,2015,useUp,2314.45
usa,connecticut,biomass,2020,useUp,2542.84
usa,connecticut,biomass,2025,useUp,2793.76
usa,connecticut,biomass,2030,useUp,3069.45
usa,connecticut,biomass,2035,useUp,3372.34
usa,connecticut,biomass,2040,useUp,3705.12
usa,connecticut,biomass,2045,useUp,4070.74
usa,connecticut,biomass,2050,useUp,4472.44
usa,delaware,biomass,2015,useUp,2203.46
usa,delaware,biomass,2020,useUp,2420.89
usa,delaware,biomass,2025,useUp,2659.79
usa,delaware,biomass,2030,useUp,2922.25
usa,delaware,biomass,2035,useUp,3210.62
usa,delaware,biomass,2040,useUp,3527.44
usa,delaware,biomass,2045,useUp,3875.52
usa,delaware,biomass,2050,useUp,4257.96
usa,florida,biomass,2015,useUp,34926.66
usa,florida,biomass,2020,useUp,38373.2
usa,florida,biomass,2025,useUp,42159.83
usa,florida,biomass,2030,useUp,46320.13
usa,florida,biomass,2035,useUp,50890.97
usa,florida,biomass,2040,useUp,55912.85
usa,florida,biomass,2045,useUp,61430.29
usa,florida,biomass,2050,useUp,67492.18
usa,georgia,biomass,2015,useUp,44531.15
usa,georgia,biomass,2020,useUp,48925.45
usa,georgia,biomass,2025,useUp,53753.37
usa,georgia,biomass,2030,useUp,59057.72
usa,georgia,biomass,2035,useUp,64885.49
usa,georgia,biomass,2040,useUp,71288.34
usa,georgia,biomass,2045,useUp,78323.02
usa,georgia,biomass,2050,useUp,86051.87
usa,iowa,biomass,2015,useUp,91144.73
usa,iowa,biomass,2020,useUp,100138.83
usa,iowa,biomass,2025,useUp,110020.45
usa,iowa,biomass,2030,useUp,120877.19
usa,iowa,biomass,2035,useUp,132805.25
usa,iowa,biomass,2040,useUp,145910.38
usa,iowa,biomass,2045,useUp,160308.7
usa,iowa,biomass,2050,useUp,176127.84
usa,idaho,biomass,2015,useUp,17369.99
usa,idaho,biomass,2020,useUp,19084.04
usa,idaho,biomass,2025,useUp,20967.24
usa,idaho,biomass,2030,useUp,23036.27
usa,idaho,biomass,2035,useUp,25309.47
usa,idaho,biomass,2040,useUp,27806.99
usa,idaho,biomass,2045,useUp,30550.97
usa,idaho,biomass,2050,useUp,33565.71
usa,illinois,biomass,2015,useUp,78177.52
usa,illinois,biomass,2020,useUp,85892.01
usa,illinois,biomass,2025,useUp,94367.77
usa,illinois,biomass,2030,useUp,103679.91
usa,illinois,biomass,2035,useUp,113910.97
usa,illinois,biomass,2040,useUp,125151.62
usa,illinois,biomass,2045,useUp,137501.49
usa,illinois,biomass,2050,useUp,151070.03
usa,indiana,biomass,2015,useUp,45077.15
usa,indiana,biomass,2020,useUp,49525.33
usa,indiana,biomass,2025,useUp,54412.45
usa,indiana,biomass,2030,useUp,59781.83
usa,indiana,biomass,2035,useUp,65681.06
usa,indiana,biomass,2040,useUp,72162.41
usa,indiana,biomass,2045,useUp,79283.34
usa,indiana,biomass,2050,useUp,87106.97
usa,kansas,biomass,2015,useUp,39113.38
usa,kansas,biomass,2020,useUp,42973.06
usa,kansas,biomass,2025,useUp,47213.6
usa,kansas,biomass,2030,useUp,51872.61
usa,kansas,biomass,2035,useUp,56991.36
usa,kansas,biomass,2040,useUp,62615.22
usa,kansas,biomass,2045,useUp,68794.04
usa,kansas,biomass,2050,useUp,75582.59
usa,kentucky,biomass,2015,useUp,22875.98
usa,kentucky,biomass,2020,useUp,25133.36
usa,kentucky,biomass,2025,useUp,27613.51
usa,kentucky,biomass,2030,useUp,30338.39
usa,kentucky,biomass,2035,useUp,33332.15
usa,kentucky,biomass,2040,useUp,36621.35
usa,kentucky,biomass,2045,useUp,40235.11
usa,kentucky,biomass,2050,useUp,44205.48
usa,louisiana,biomass,2015,useUp,43007.38
usa,louisiana,biomass,2020,useUp,47251.31
usa,louisiana,biomass,2025,useUp,51914.04
usa,louisiana,biomass,2030,useUp,57036.87
usa,louisiana,biomass,2035,useUp,62665.23
usa,louisiana,biomass,2040,useUp,68848.99
usa,louisiana,biomass,2045,useUp,75642.95
usa,louisiana,biomass,2050,useUp,83107.34
usa,massachusetts,biomass,2015,useUp,4501.68
usa,massachusetts,biomass,2020,useUp,4945.9
usa,massachusetts,biomass,2025,useUp,5433.96
usa,massachusetts,biomass,2030,useUp,5970.18
usa,massachusetts,biomass,2035,useUp,6559.31
usa,massachusetts,biomass,2040,useUp,7206.58
usa,massachusetts,biomass,2045,useUp,7917.72
usa,massachusetts,biomass,2050,useUp,8699.03
usa,maryland,biomass,2015,useUp,9169.7
usa,maryland,biomass,2020,useUp,10074.55
usa,maryland,biomass,2025,useUp,11068.7
usa,maryland,biomass,2030,useUp,12160.96
usa,maryland,biomass,2035,useUp,13360.99
usa,maryland,biomass,2040,useUp,14679.44
usa,maryland,biomass,2045,useUp,16128
usa,maryland,biomass,2050,useUp,17719.5
usa,maine,biomass,2015,useUp,6928.1
usa,maine,biomass,2020,useUp,7611.76
usa,maine,biomass,2025,useUp,8362.88
usa,maine,biomass,2030,useUp,9188.12
usa,maine,biomass,2035,useUp,10094.8
usa,maine,biomass,2040,useUp,11090.95
usa,maine,biomass,2045,useUp,12185.39
usa,maine,biomass,2050,useUp,13387.84
usa,michigan,biomass,2015,useUp,32909.34
usa,michigan,biomass,2020,useUp,36156.81
usa,michigan,biomass,2025,useUp,39724.74
usa,michigan,biomass,2030,useUp,43644.75
usa,michigan,biomass,2035,useUp,47951.58
usa,michigan,biomass,2040,useUp,52683.4
usa,michigan,biomass,2045,useUp,57882.16
usa,michigan,biomass,2050,useUp,63593.93
usa,minnesota,biomass,2015,useUp,77885.21
usa,minnesota,biomass,2020,useUp,85570.86
usa,minnesota,biomass,2025,useUp,94014.93
usa,minnesota,biomass,2030,useUp,103292.25
usa,minnesota,biomass,2035,useUp,113485.05
usa,minnesota,biomass,2040,useUp,124683.67
usa,minnesota,biomass,2045,useUp,136987.36
usa,minnesota,biomass,2050,useUp,150505.17
usa,missouri,biomass,2015,useUp,31536.53
usa,missouri,biomass,2020,useUp,34648.53
usa,missouri,biomass,2025,useUp,38067.63
usa,missouri,biomass,2030,useUp,41824.11
usa,missouri,biomass,2035,useUp,45951.28
usa,missouri,biomass,2040,useUp,50485.72
usa,missouri,biomass,2045,useUp,55467.61
usa,missouri,biomass,2050,useUp,60941.11
usa,mississippi,biomass,2015,useUp,34369.51
usa,mississippi,biomass,2020,useUp,37761.07
usa,mississippi,biomass,2025,useUp,41487.3
usa,mississippi,biomass,2030,useUp,45581.24
usa,mississippi,biomass,2035,useUp,50079.16
usa,mississippi,biomass,2040,useUp,55020.93
usa,mississippi,biomass,2045,useUp,60450.35
usa,mississippi,biomass,2050,useUp,66415.55
usa,montana,biomass,2015,useUp,13651.96
usa,montana,biomass,2020,useUp,14999.12
usa,montana,biomass,2025,useUp,16479.22
usa,montana,biomass,2030,useUp,18105.38
usa,montana,biomass,2035,useUp,19892.01
usa,montana,biomass,2040,useUp,21854.93
usa,montana,biomass,2045,useUp,24011.56
usa,montana,biomass,2050,useUp,26381
usa,northCarolina,biomass,2015,useUp,42769.79
usa,northCarolina,biomass,2020,useUp,46990.28
usa,northCarolina,biomass,2025,useUp,51627.25
usa,northCarolina,biomass,2030,useUp,56721.79
usa,northCarolina,biomass,2035,useUp,62319.05
usa,northCarolina,biomass,2040,useUp,68468.65
usa,northCarolina,biomass,2045,useUp,75225.08
usa,northCarolina,biomass,2050,useUp,82648.23
usa,northDakota,biomass,2015,useUp,45984.27
usa,northDakota,biomass,2020,useUp,50521.96
usa,northDakota,biomass,2025,useUp,55507.43
usa,northDakota,biomass,2030,useUp,60984.86
usa,northDakota,biomass,2035,useUp,67002.81
usa,northDakota,biomass,2040,useUp,73614.59
usa,northDakota,biomass,2045,useUp,80878.82
usa,northDakota,biomass,2050,useUp,88859.88
usa,nebraska,biomass,2015,useUp,55359.05
usa,nebraska,biomass,2020,useUp,60821.83
usa,nebraska,biomass,2025,useUp,66823.69
usa,nebraska,biomass,2030,useUp,73417.8
usa,nebraska,biomass,2035,useUp,80662.61
usa,nebraska,biomass,2040,useUp,88622.34
usa,nebraska,biomass,2045,useUp,97367.52
usa,nebraska,biomass,2050,useUp,106975.67
usa,newHampshire,biomass,2015,useUp,2835.14
usa,newHampshire,biomass,2020,useUp,3114.91
usa,newHampshire,biomass,2025,useUp,3422.29
usa,newHampshire,biomass,2030,useUp,3760
usa,newHampshire,biomass,2035,useUp,4131.03
usa,newHampshire,biomass,2040,useUp,4538.68
usa,newHampshire,biomass,2045,useUp,4986.55
usa,newHampshire,biomass,2050,useUp,5478.62
usa,newJersey,biomass,2015,useUp,6566.8
usa,newJersey,biomass,2020,useUp,7214.8
usa,newJersey,biomass,2025,useUp,7926.75
usa,newJersey,biomass,2030,useUp,8708.96
usa,newJersey,biomass,2035,useUp,9568.35
usa,newJersey,biomass,2040,useUp,10512.55
usa,newJersey,biomass,2045,useUp,11549.92
usa,newJersey,biomass,2050,useUp,12689.66
usa,newMexico,biomass,2015,useUp,1770.58
usa,newMexico,biomass,2020,useUp,1945.29
usa,newMexico,biomass,2025,useUp,2137.25
usa,newMexico,biomass,2030,useUp,2348.16
usa,newMexico,biomass,2035,useUp,2579.87
usa,newMexico,biomass,2040,useUp,2834.45
usa,newMexico,biomass,2045,useUp,3114.15
usa,newMexico,biomass,2050,useUp,3421.46
usa,nevada,biomass,2015,useUp,1786.03
usa,nevada,biomass,2020,useUp,1962.28
usa,nevada,biomass,2025,useUp,2155.91
usa,nevada,biomass,2030,useUp,2368.66
usa,nevada,biomass,2035,useUp,2602.4
usa,nevada,biomass,2040,useUp,2859.2
usa,nevada,biomass,2045,useUp,3141.34
usa,nevada,biomass,2050,useUp,3451.33
usa,newYork,biomass,2015,useUp,18624.51
usa,newYork,biomass,2020,useUp,20462.36
usa,newYork,biomass,2025,useUp,22481.57
usa,newYork,biomass,2030,useUp,24700.04
usa,newYork,biomass,2035,useUp,27137.42
usa,newYork,biomass,2040,useUp,29815.32
usa,newYork,biomass,2045,useUp,32757.47
usa,newYork,biomass,2050,useUp,35989.95
usa,ohio,biomass,2015,useUp,42202.01
usa,ohio,biomass,2020,useUp,46366.47
usa,ohio,biomass,2025,useUp,50941.88
usa,ohio,biomass,2030,useUp,55968.79
usa,ohio,biomass,2035,useUp,61491.74
usa,ohio,biomass,2040,useUp,67559.7
usa,ohio,biomass,2045,useUp,74226.44
usa,ohio,biomass,2050,useUp,81551.05
usa,oklahoma,biomass,2015,useUp,12591.6
usa,oklahoma,biomass,2020,useUp,13834.13
usa,oklahoma,biomass,2025,useUp,15199.27
usa,oklahoma,biomass,2030,useUp,16699.12
usa,oklahoma,biomass,2035,useUp,18346.98
usa,oklahoma,biomass,2040,useUp,20157.44
usa,oklahoma,biomass,2045,useUp,22146.57
usa,oklahoma,biomass,2050,useUp,24331.97
usa,oregon,biomass,2015,useUp,34587.72
usa,oregon,biomass,2020,useUp,38000.81
usa,oregon,biomass,2025,useUp,41750.7
usa,oregon,biomass,2030,useUp,45870.62
usa,oregon,biomass,2035,useUp,50397.1
usa,oregon,biomass,2040,useUp,55370.25
usa,oregon,biomass,2045,useUp,60834.14
usa,oregon,biomass,2050,useUp,66837.21
usa,pennsylvania,biomass,2015,useUp,78177.52
usa,pennsylvania,biomass,2020,useUp,85892.01
usa,pennsylvania,biomass,2025,useUp,94367.77
usa,pennsylvania,biomass,2030,useUp,103679.91
usa,pennsylvania,biomass,2035,useUp,113910.97
usa,pennsylvania,biomass,2040,useUp,125151.62
usa,pennsylvania,biomass,2045,useUp,137501.49
usa,pennsylvania,biomass,2050,useUp,151070.03
usa,rhodeIsland,biomass,2015,useUp,668.35
usa,rhodeIsland,biomass,2020,useUp,734.3
usa,rhodeIsland,biomass,2025,useUp,806.76
usa,rhodeIsland,biomass,2030,useUp,886.37
usa,rhodeIsland,biomass,2035,useUp,973.83
usa,rhodeIsland,biomass,2040,useUp,1069.93
usa,rhodeIsland,biomass,2045,useUp,1175.51
usa,rhodeIsland,biomass,2050,useUp,1291.51
usa,southCarolina,biomass,2015,useUp,24556.15
usa,southCarolina,biomass,2020,useUp,26979.34
usa,southCarolina,biomass,2025,useUp,29641.64
usa,southCarolina,biomass,2030,useUp,32566.65
usa,southCarolina,biomass,2035,useUp,35780.3
usa,southCarolina,biomass,2040,useUp,39311.08
usa,southCarolina,biomass,2045,useUp,43190.27
usa,southCarolina,biomass,2050,useUp,47452.25
usa,southDakota,biomass,2015,useUp,32354.01
usa,southDakota,biomass,2020,useUp,35546.68
usa,southDakota,biomass,2025,useUp,39054.4
usa,southDakota,biomass,2030,useUp,42908.26
usa,southDakota,biomass,2035,useUp,47142.41
usa,southDakota,biomass,2040,useUp,51794.39
usa,southDakota,biomass,2045,useUp,56905.42
usa,southDakota,biomass,2050,useUp,62520.81
usa,tennessee,biomass,2015,useUp,21915.25
usa,tennessee,biomass,2020,useUp,24077.84
usa,tennessee,biomass,2025,useUp,26453.82
usa,tennessee,biomass,2030,useUp,29064.26
usa,tennessee,biomass,2035,useUp,31932.3
usa,tennessee,biomass,2040,useUp,35083.36
usa,tennessee,biomass,2045,useUp,38545.35
usa,tennessee,biomass,2050,useUp,42348.98
usa,texas,biomass,2015,useUp,56157.23
usa,texas,biomass,2020,useUp,61698.78
usa,texas,biomass,2025,useUp,67787.17
usa,texas,biomass,2030,useUp,74476.36
usa,texas,biomass,2035,useUp,81825.63
usa,texas,biomass,2040,useUp,89900.12
usa,texas,biomass,2045,useUp,98771.4
usa,texas,biomass,2050,useUp,108518.08
usa,utah,biomass,2015,useUp,2435.58
usa,utah,biomass,2020,useUp,2675.92
usa,utah,biomass,2025,useUp,2939.97
usa,utah,biomass,2030,useUp,3230.09
usa,utah,biomass,2035,useUp,3548.83
usa,utah,biomass,2040,useUp,3899.03
usa,utah,biomass,2045,useUp,4283.78
usa,utah,biomass,2050,useUp,4706.5
usa,virginia,biomass,2015,useUp,28829.52
usa,virginia,biomass,2020,useUp,31674.39
usa,virginia,biomass,2025,useUp,34800
usa,virginia,biomass,2030,useUp,38234.04
usa,virginia,biomass,2035,useUp,42006.94
usa,virginia,biomass,2040,useUp,46152.15
usa,virginia,biomass,2045,useUp,50706.41
usa,virginia,biomass,2050,useUp,55710.08
usa,vermont,biomass,2015,useUp,1468.26
usa,vermont,biomass,2020,useUp,1613.14
usa,vermont,biomass,2025,useUp,1772.33
usa,vermont,biomass,2030,useUp,1947.22
usa,vermont,biomass,2035,useUp,2139.37
usa,vermont,biomass,2040,useUp,2350.48
usa,vermont,biomass,2045,useUp,2582.43
usa,vermont,biomass,2050,useUp,2837.26
usa,washington,biomass,2015,useUp,35150.92
usa,washington,biomass,2020,useUp,38619.59
usa,washington,biomass,2025,useUp,42430.54
usa,washington,biomass,2030,useUp,46617.55
usa,washington,biomass,2035,useUp,51217.74
usa,washington,biomass,2040,useUp,56271.86
usa,washington,biomass,2045,useUp,61824.73
usa,washington,biomass,2050,useUp,67925.55
usa,wisconsin,biomass,2015,useUp,31490.8
usa,wisconsin,biomass,2020,useUp,34598.29
usa,wisconsin,biomass,2025,useUp,38012.43
usa,wisconsin,biomass,2030,useUp,41763.46
usa,wisconsin,biomass,2035,useUp,45884.65
usa,wisconsin,biomass,2040,useUp,50412.51
usa,wisconsin,biomass,2045,useUp,55387.18
usa,wisconsin,biomass,2050,useUp,60852.75
usa,westVirginia,biomass,2015,useUp,9505.83
usa,westVirginia,biomass,2020,useUp,10443.86
usa,westVirginia,biomass,2025,useUp,11474.45
usa,westVirginia,biomass,2030,useUp,12606.74
usa,westVirginia,biomass,2035,useUp,13850.77
usa,westVirginia,biomass,2040,useUp,15217.55
usa,westVirginia,biomass,2045,useUp,16719.21
usa,westVirginia,biomass,2050,useUp,18369.05
usa,wyoming,biomass,2015,useUp,0
usa,wyoming,biomass,2020,useUp,0
usa,wyoming,biomass,2025,useUp,0
usa,wyoming,biomass,2030,useUp,0
usa,wyoming,biomass,2035,useUp,0
usa,wyoming,biomass,2040,useUp,0
usa,wyoming,biomass,2045,useUp,0
usa,wyoming,biomass,2050,useUp,0
usa,alaska,biomass,2015,useUp,1336.07
usa,alaska,biomass,2020,useUp,1467.91
usa,alaska,biomass,2025,useUp,1612.77
usa,alaska,biomass,2030,useUp,1771.91
usa,alaska,biomass,2035,useUp,1946.76
usa,alaska,biomass,2040,useUp,2138.87
usa,alaska,biomass,2045,useUp,2349.93
usa,alaska,biomass,2050,useUp,2581.82
canada,canada_,biomass,2015,useUp,150000
canada,canada_,biomass,2020,useUp,164801.89
canada,canada_,biomass,2025,useUp,181064.41
canada,canada_,biomass,2030,useUp,198931.71
canada,canada_,biomass,2035,useUp,218562.14
canada,canada_,biomass,2040,useUp,240129.69
canada,canada_,biomass,2045,useUp,263825.51
canada,canada_,biomass,2050,useUp,289859.61
