region_2,technology_4,timestep_2,parameter,value
utah,hltGas,2035,capaConvResi,1.0155
vermont,hltGas,2035,capaConvResi,0.4403
virginia,hltGas,2035,capaConvResi,1.2323
washington,hltGas,2035,capaConvResi,1.407
westVirginia,hltGas,2035,capaConvResi,0.5131
wisconsin,hltGas,2035,capaConvResi,1.6012
wyoming,hltGas,2035,capaConvResi,0.2636
alabama,hltElectricFurnace,2015,capaConvResi,0.3882
arizona,hltElectricFurnace,2015,capaConvResi,2.7105
arkansas,hltElectricFurnace,2015,capaConvResi,0.3596
california,hltElectricFurnace,2015,capaConvResi,3.8075
colorado,hltElectricFurnace,2015,capaConvResi,4.1748
connecticut,hltElectricFurnace,2015,capaConvResi,3.4024
delaware,hltElectricFurnace,2015,capaConvResi,0.0775
florida,hltElectricFurnace,2015,capaConvResi,1.6902
georgia,hltElectricFurnace,2015,capaConvResi,0.7675
idaho,hltElectricFurnace,2015,capaConvResi,1.2519
illinois,hltElectricFurnace,2015,capaConvResi,2.9462
indiana,hltElectricFurnace,2015,capaConvResi,1.5742
iowa,hltElectricFurnace,2015,capaConvResi,1.0473
kansas,hltElectricFurnace,2015,capaConvResi,0.9587
kentucky,hltElectricFurnace,2015,capaConvResi,0.3426
louisiana,hltElectricFurnace,2015,capaConvResi,0.5403
maine,hltElectricFurnace,2015,capaConvResi,2.5418
maryland,hltElectricFurnace,2015,capaConvResi,0.4466
massachusetts,hltElectricFurnace,2015,capaConvResi,9.9194
michigan,hltElectricFurnace,2015,capaConvResi,2.5209
minnesota,hltElectricFurnace,2015,capaConvResi,1.8328
mississippi,hltElectricFurnace,2015,capaConvResi,0.2276
missouri,hltElectricFurnace,2015,capaConvResi,2.0997
montana,hltElectricFurnace,2015,capaConvResi,0.8929
nebraska,hltElectricFurnace,2015,capaConvResi,0.6274
nevada,hltElectricFurnace,2015,capaConvResi,1.1185
newHampshire,hltElectricFurnace,2015,capaConvResi,2.1702
newJersey,hltElectricFurnace,2015,capaConvResi,6.1393
newMexico,hltElectricFurnace,2015,capaConvResi,0.8459
newYork,hltElectricFurnace,2015,capaConvResi,14.0216
northCarolina,hltElectricFurnace,2015,capaConvResi,0.8243
northDakota,hltElectricFurnace,2015,capaConvResi,0.2778
ohio,hltElectricFurnace,2015,capaConvResi,2.8568
oklahoma,hltElectricFurnace,2015,capaConvResi,0.4563
oregon,hltElectricFurnace,2015,capaConvResi,0.4675
pennsylvania,hltElectricFurnace,2015,capaConvResi,9.572
rhodeIsland,hltElectricFurnace,2015,capaConvResi,1.6127
southCarolina,hltElectricFurnace,2015,capaConvResi,0.4054
southDakota,hltElectricFurnace,2015,capaConvResi,0.2912
tennessee,hltElectricFurnace,2015,capaConvResi,0.5061
texas,hltElectricFurnace,2015,capaConvResi,2.8243
utah,hltElectricFurnace,2015,capaConvResi,1.876
vermont,hltElectricFurnace,2015,capaConvResi,1.1393
virginia,hltElectricFurnace,2015,capaConvResi,0.6366
washington,hltElectricFurnace,2015,capaConvResi,0.8142
westVirginia,hltElectricFurnace,2015,capaConvResi,0.2651
wisconsin,hltElectricFurnace,2015,capaConvResi,1.4721
wyoming,hltElectricFurnace,2015,capaConvResi,0.4869
alabama,hltElectricFurnace,2020,capaConvResi,0.3106
arizona,hltElectricFurnace,2020,capaConvResi,2.1684
arkansas,hltElectricFurnace,2020,capaConvResi,0.2877
california,hltElectricFurnace,2020,capaConvResi,3.046
colorado,hltElectricFurnace,2020,capaConvResi,3.3398
connecticut,hltElectricFurnace,2020,capaConvResi,2.7219
delaware,hltElectricFurnace,2020,capaConvResi,0.062
florida,hltElectricFurnace,2020,capaConvResi,1.3522
georgia,hltElectricFurnace,2020,capaConvResi,0.614
idaho,hltElectricFurnace,2020,capaConvResi,1.0015
illinois,hltElectricFurnace,2020,capaConvResi,2.3569
indiana,hltElectricFurnace,2020,capaConvResi,1.2593
iowa,hltElectricFurnace,2020,capaConvResi,0.8379
kansas,hltElectricFurnace,2020,capaConvResi,0.767
kentucky,hltElectricFurnace,2020,capaConvResi,0.2741
louisiana,hltElectricFurnace,2020,capaConvResi,0.4323
maine,hltElectricFurnace,2020,capaConvResi,2.0335
maryland,hltElectricFurnace,2020,capaConvResi,0.3573
massachusetts,hltElectricFurnace,2020,capaConvResi,7.9355
michigan,hltElectricFurnace,2020,capaConvResi,2.0167
minnesota,hltElectricFurnace,2020,capaConvResi,1.4663
mississippi,hltElectricFurnace,2020,capaConvResi,0.1821
missouri,hltElectricFurnace,2020,capaConvResi,1.6797
montana,hltElectricFurnace,2020,capaConvResi,0.7143
nebraska,hltElectricFurnace,2020,capaConvResi,0.502
nevada,hltElectricFurnace,2020,capaConvResi,0.8948
newHampshire,hltElectricFurnace,2020,capaConvResi,1.7362
newJersey,hltElectricFurnace,2020,capaConvResi,4.9115
newMexico,hltElectricFurnace,2020,capaConvResi,0.6767
newYork,hltElectricFurnace,2020,capaConvResi,11.2173
northCarolina,hltElectricFurnace,2020,capaConvResi,0.6594
northDakota,hltElectricFurnace,2020,capaConvResi,0.2222
ohio,hltElectricFurnace,2020,capaConvResi,2.2855
oklahoma,hltElectricFurnace,2020,capaConvResi,0.3651
oregon,hltElectricFurnace,2020,capaConvResi,0.374
pennsylvania,hltElectricFurnace,2020,capaConvResi,7.6576
rhodeIsland,hltElectricFurnace,2020,capaConvResi,1.2902
southCarolina,hltElectricFurnace,2020,capaConvResi,0.3243
southDakota,hltElectricFurnace,2020,capaConvResi,0.2329
tennessee,hltElectricFurnace,2020,capaConvResi,0.4049
texas,hltElectricFurnace,2020,capaConvResi,2.2595
utah,hltElectricFurnace,2020,capaConvResi,1.5008
vermont,hltElectricFurnace,2020,capaConvResi,0.9115
virginia,hltElectricFurnace,2020,capaConvResi,0.5093
washington,hltElectricFurnace,2020,capaConvResi,0.6514
westVirginia,hltElectricFurnace,2020,capaConvResi,0.2121
wisconsin,hltElectricFurnace,2020,capaConvResi,1.1777
wyoming,hltElectricFurnace,2020,capaConvResi,0.3895
alabama,hltElectricFurnace,2025,capaConvResi,0.2329
arizona,hltElectricFurnace,2025,capaConvResi,1.6263
arkansas,hltElectricFurnace,2025,capaConvResi,0.2158
california,hltElectricFurnace,2025,capaConvResi,2.2845
colorado,hltElectricFurnace,2025,capaConvResi,2.5049
connecticut,hltElectricFurnace,2025,capaConvResi,2.0414
delaware,hltElectricFurnace,2025,capaConvResi,0.0465
florida,hltElectricFurnace,2025,capaConvResi,1.0142
georgia,hltElectricFurnace,2025,capaConvResi,0.4605
idaho,hltElectricFurnace,2025,capaConvResi,0.7512
illinois,hltElectricFurnace,2025,capaConvResi,1.7677
indiana,hltElectricFurnace,2025,capaConvResi,0.9445
iowa,hltElectricFurnace,2025,capaConvResi,0.6284
kansas,hltElectricFurnace,2025,capaConvResi,0.5752
kentucky,hltElectricFurnace,2025,capaConvResi,0.2056
louisiana,hltElectricFurnace,2025,capaConvResi,0.3242
maine,hltElectricFurnace,2025,capaConvResi,1.5251
maryland,hltElectricFurnace,2025,capaConvResi,0.268
massachusetts,hltElectricFurnace,2025,capaConvResi,5.9516
michigan,hltElectricFurnace,2025,capaConvResi,1.5126
minnesota,hltElectricFurnace,2025,capaConvResi,1.0997
mississippi,hltElectricFurnace,2025,capaConvResi,0.1366
missouri,hltElectricFurnace,2025,capaConvResi,1.2598
montana,hltElectricFurnace,2025,capaConvResi,0.5358
nebraska,hltElectricFurnace,2025,capaConvResi,0.3765
nevada,hltElectricFurnace,2025,capaConvResi,0.6711
newHampshire,hltElectricFurnace,2025,capaConvResi,1.3021
newJersey,hltElectricFurnace,2025,capaConvResi,3.6836
newMexico,hltElectricFurnace,2025,capaConvResi,0.5076
newYork,hltElectricFurnace,2025,capaConvResi,8.413
northCarolina,hltElectricFurnace,2025,capaConvResi,0.4946
northDakota,hltElectricFurnace,2025,capaConvResi,0.1667
ohio,hltElectricFurnace,2025,capaConvResi,1.7141
oklahoma,hltElectricFurnace,2025,capaConvResi,0.2738
oregon,hltElectricFurnace,2025,capaConvResi,0.2805
pennsylvania,hltElectricFurnace,2025,capaConvResi,5.7432
rhodeIsland,hltElectricFurnace,2025,capaConvResi,0.9676
southCarolina,hltElectricFurnace,2025,capaConvResi,0.2432
southDakota,hltElectricFurnace,2025,capaConvResi,0.1747
tennessee,hltElectricFurnace,2025,capaConvResi,0.3037
texas,hltElectricFurnace,2025,capaConvResi,1.6946
utah,hltElectricFurnace,2025,capaConvResi,1.1256
vermont,hltElectricFurnace,2025,capaConvResi,0.6836
virginia,hltElectricFurnace,2025,capaConvResi,0.382
washington,hltElectricFurnace,2025,capaConvResi,0.4886
westVirginia,hltElectricFurnace,2025,capaConvResi,0.1591
wisconsin,hltElectricFurnace,2025,capaConvResi,0.8833
wyoming,hltElectricFurnace,2025,capaConvResi,0.2922
alabama,hltElectricFurnace,2030,capaConvResi,0.1553
arizona,hltElectricFurnace,2030,capaConvResi,1.0842
arkansas,hltElectricFurnace,2030,capaConvResi,0.1439
california,hltElectricFurnace,2030,capaConvResi,1.523
colorado,hltElectricFurnace,2030,capaConvResi,1.6699
connecticut,hltElectricFurnace,2030,capaConvResi,1.361
delaware,hltElectricFurnace,2030,capaConvResi,0.031
florida,hltElectricFurnace,2030,capaConvResi,0.6761
georgia,hltElectricFurnace,2030,capaConvResi,0.307
idaho,hltElectricFurnace,2030,capaConvResi,0.5008
illinois,hltElectricFurnace,2030,capaConvResi,1.1785
indiana,hltElectricFurnace,2030,capaConvResi,0.6297
iowa,hltElectricFurnace,2030,capaConvResi,0.419
kansas,hltElectricFurnace,2030,capaConvResi,0.3835
kentucky,hltElectricFurnace,2030,capaConvResi,0.1371
louisiana,hltElectricFurnace,2030,capaConvResi,0.2162
maine,hltElectricFurnace,2030,capaConvResi,1.0168
maryland,hltElectricFurnace,2030,capaConvResi,0.1787
massachusetts,hltElectricFurnace,2030,capaConvResi,3.9678
michigan,hltElectricFurnace,2030,capaConvResi,1.0084
minnesota,hltElectricFurnace,2030,capaConvResi,0.7332
mississippi,hltElectricFurnace,2030,capaConvResi,0.0911
missouri,hltElectricFurnace,2030,capaConvResi,0.8399
montana,hltElectricFurnace,2030,capaConvResi,0.3572
nebraska,hltElectricFurnace,2030,capaConvResi,0.251
nevada,hltElectricFurnace,2030,capaConvResi,0.4474
newHampshire,hltElectricFurnace,2030,capaConvResi,0.8681
newJersey,hltElectricFurnace,2030,capaConvResi,2.4558
newMexico,hltElectricFurnace,2030,capaConvResi,0.3384
newYork,hltElectricFurnace,2030,capaConvResi,5.6087
northCarolina,hltElectricFurnace,2030,capaConvResi,0.3297
northDakota,hltElectricFurnace,2030,capaConvResi,0.1111
ohio,hltElectricFurnace,2030,capaConvResi,1.1428
oklahoma,hltElectricFurnace,2030,capaConvResi,0.1826
oregon,hltElectricFurnace,2030,capaConvResi,0.187
pennsylvania,hltElectricFurnace,2030,capaConvResi,3.8288
rhodeIsland,hltElectricFurnace,2030,capaConvResi,0.6451
southCarolina,hltElectricFurnace,2030,capaConvResi,0.1622
southDakota,hltElectricFurnace,2030,capaConvResi,0.1165
tennessee,hltElectricFurnace,2030,capaConvResi,0.2025
texas,hltElectricFurnace,2030,capaConvResi,1.1298
utah,hltElectricFurnace,2030,capaConvResi,0.7504
vermont,hltElectricFurnace,2030,capaConvResi,0.4558
virginia,hltElectricFurnace,2030,capaConvResi,0.2547
washington,hltElectricFurnace,2030,capaConvResi,0.3257
westVirginia,hltElectricFurnace,2030,capaConvResi,0.1061
wisconsin,hltElectricFurnace,2030,capaConvResi,0.5889
wyoming,hltElectricFurnace,2030,capaConvResi,0.1948
alabama,hltElectricFurnace,2035,capaConvResi,0.0777
arizona,hltElectricFurnace,2035,capaConvResi,0.5421
arkansas,hltElectricFurnace,2035,capaConvResi,0.072
california,hltElectricFurnace,2035,capaConvResi,0.7615
colorado,hltElectricFurnace,2035,capaConvResi,0.835
connecticut,hltElectricFurnace,2035,capaConvResi,0.6805
delaware,hltElectricFurnace,2035,capaConvResi,0.0155
florida,hltElectricFurnace,2035,capaConvResi,0.3381
georgia,hltElectricFurnace,2035,capaConvResi,0.1535
idaho,hltElectricFurnace,2035,capaConvResi,0.2504
illinois,hltElectricFurnace,2035,capaConvResi,0.5893
indiana,hltElectricFurnace,2035,capaConvResi,0.3149
iowa,hltElectricFurnace,2035,capaConvResi,0.2095
kansas,hltElectricFurnace,2035,capaConvResi,0.1918
kentucky,hltElectricFurnace,2035,capaConvResi,0.0686
louisiana,hltElectricFurnace,2035,capaConvResi,0.1081
maine,hltElectricFurnace,2035,capaConvResi,0.5084
maryland,hltElectricFurnace,2035,capaConvResi,0.0894
massachusetts,hltElectricFurnace,2035,capaConvResi,1.9839
michigan,hltElectricFurnace,2035,capaConvResi,0.5042
minnesota,hltElectricFurnace,2035,capaConvResi,0.3666
mississippi,hltElectricFurnace,2035,capaConvResi,0.0456
missouri,hltElectricFurnace,2035,capaConvResi,0.42
montana,hltElectricFurnace,2035,capaConvResi,0.1786
nebraska,hltElectricFurnace,2035,capaConvResi,0.1255
nevada,hltElectricFurnace,2035,capaConvResi,0.2237
newHampshire,hltElectricFurnace,2035,capaConvResi,0.4341
newJersey,hltElectricFurnace,2035,capaConvResi,1.2279
newMexico,hltElectricFurnace,2035,capaConvResi,0.1692
newYork,hltElectricFurnace,2035,capaConvResi,2.8044
northCarolina,hltElectricFurnace,2035,capaConvResi,0.1649
northDakota,hltElectricFurnace,2035,capaConvResi,0.0556
ohio,hltElectricFurnace,2035,capaConvResi,0.5714
oklahoma,hltElectricFurnace,2035,capaConvResi,0.0913
oregon,hltElectricFurnace,2035,capaConvResi,0.0935
pennsylvania,hltElectricFurnace,2035,capaConvResi,1.9144
rhodeIsland,hltElectricFurnace,2035,capaConvResi,0.3226
southCarolina,hltElectricFurnace,2035,capaConvResi,0.0811
southDakota,hltElectricFurnace,2035,capaConvResi,0.0583
tennessee,hltElectricFurnace,2035,capaConvResi,0.1013
texas,hltElectricFurnace,2035,capaConvResi,0.5649
utah,hltElectricFurnace,2035,capaConvResi,0.3752
vermont,hltElectricFurnace,2035,capaConvResi,0.2279
virginia,hltElectricFurnace,2035,capaConvResi,0.1274
washington,hltElectricFurnace,2035,capaConvResi,0.1629
westVirginia,hltElectricFurnace,2035,capaConvResi,0.0531
wisconsin,hltElectricFurnace,2035,capaConvResi,0.2945
wyoming,hltElectricFurnace,2035,capaConvResi,0.0974
alabama,hltOil,2015,capaConvResi,3.6849
california,hltOil,2015,capaConvResi,20.0677
connecticut,hltOil,2015,capaConvResi,1.6529
delaware,hltOil,2015,capaConvResi,0.4707
florida,hltOil,2015,capaConvResi,10.2774
georgia,hltOil,2015,capaConvResi,4.6666
illinois,hltOil,2015,capaConvResi,43.5659
indiana,hltOil,2015,capaConvResi,23.2775
iowa,hltOil,2015,capaConvResi,6.0881
kansas,hltOil,2015,capaConvResi,5.5726
kentucky,hltOil,2015,capaConvResi,3.2519
maine,hltOil,2015,capaConvResi,1.2348
maryland,hltOil,2015,capaConvResi,2.7156
massachusetts,hltOil,2015,capaConvResi,4.8188
michigan,hltOil,2015,capaConvResi,37.2772
minnesota,hltOil,2015,capaConvResi,10.6541
mississippi,hltOil,2015,capaConvResi,2.1603
missouri,hltOil,2015,capaConvResi,12.2053
nebraska,hltOil,2015,capaConvResi,3.647
newHampshire,hltOil,2015,capaConvResi,1.0543
newJersey,hltOil,2015,capaConvResi,6.6461
newYork,hltOil,2015,capaConvResi,15.179
northCarolina,hltOil,2015,capaConvResi,5.0118
northDakota,hltOil,2015,capaConvResi,1.6144
ohio,hltOil,2015,capaConvResi,42.2446
oregon,hltOil,2015,capaConvResi,2.464
pennsylvania,hltOil,2015,capaConvResi,10.3621
rhodeIsland,hltOil,2015,capaConvResi,0.7835
southCarolina,hltOil,2015,capaConvResi,2.4646
southDakota,hltOil,2015,capaConvResi,1.6922
tennessee,hltOil,2015,capaConvResi,4.8042
vermont,hltOil,2015,capaConvResi,0.5535
virginia,hltOil,2015,capaConvResi,3.8708
washington,hltOil,2015,capaConvResi,4.2913
westVirginia,hltOil,2015,capaConvResi,1.6117
wisconsin,hltOil,2015,capaConvResi,21.7685
alabama,hltOil,2020,capaConvResi,2.9479
california,hltOil,2020,capaConvResi,16.0542
connecticut,hltOil,2020,capaConvResi,1.3223
delaware,hltOil,2020,capaConvResi,0.3766
florida,hltOil,2020,capaConvResi,8.2219
georgia,hltOil,2020,capaConvResi,3.7333
illinois,hltOil,2020,capaConvResi,34.8527
indiana,hltOil,2020,capaConvResi,18.622
iowa,hltOil,2020,capaConvResi,4.8705
kansas,hltOil,2020,capaConvResi,4.4581
kentucky,hltOil,2020,capaConvResi,2.6016
maine,hltOil,2020,capaConvResi,0.9879
maryland,hltOil,2020,capaConvResi,2.1725
massachusetts,hltOil,2020,capaConvResi,3.8551
michigan,hltOil,2020,capaConvResi,29.8218
minnesota,hltOil,2020,capaConvResi,8.5233
mississippi,hltOil,2020,capaConvResi,1.7283
missouri,hltOil,2020,capaConvResi,9.7642
nebraska,hltOil,2020,capaConvResi,2.9176
newHampshire,hltOil,2020,capaConvResi,0.8434
newJersey,hltOil,2020,capaConvResi,5.3169
newYork,hltOil,2020,capaConvResi,12.1432
northCarolina,hltOil,2020,capaConvResi,4.0094
northDakota,hltOil,2020,capaConvResi,1.2916
ohio,hltOil,2020,capaConvResi,33.7957
oregon,hltOil,2020,capaConvResi,1.9712
pennsylvania,hltOil,2020,capaConvResi,8.2897
rhodeIsland,hltOil,2020,capaConvResi,0.6268
southCarolina,hltOil,2020,capaConvResi,1.9717
southDakota,hltOil,2020,capaConvResi,1.3538
tennessee,hltOil,2020,capaConvResi,3.8434
vermont,hltOil,2020,capaConvResi,0.4428
virginia,hltOil,2020,capaConvResi,3.0967
washington,hltOil,2020,capaConvResi,3.4331
westVirginia,hltOil,2020,capaConvResi,1.2894
wisconsin,hltOil,2020,capaConvResi,17.4148
alabama,hltOil,2025,capaConvResi,2.211
california,hltOil,2025,capaConvResi,12.0406
connecticut,hltOil,2025,capaConvResi,0.9917
delaware,hltOil,2025,capaConvResi,0.2824
florida,hltOil,2025,capaConvResi,6.1665
georgia,hltOil,2025,capaConvResi,2.8
illinois,hltOil,2025,capaConvResi,26.1395
indiana,hltOil,2025,capaConvResi,13.9665
iowa,hltOil,2025,capaConvResi,3.6529
kansas,hltOil,2025,capaConvResi,3.3436
kentucky,hltOil,2025,capaConvResi,1.9512
maine,hltOil,2025,capaConvResi,0.7409
maryland,hltOil,2025,capaConvResi,1.6294
massachusetts,hltOil,2025,capaConvResi,2.8913
michigan,hltOil,2025,capaConvResi,22.3663
minnesota,hltOil,2025,capaConvResi,6.3925
mississippi,hltOil,2025,capaConvResi,1.2962
missouri,hltOil,2025,capaConvResi,7.3232
nebraska,hltOil,2025,capaConvResi,2.1882
newHampshire,hltOil,2025,capaConvResi,0.6326
newJersey,hltOil,2025,capaConvResi,3.9877
newYork,hltOil,2025,capaConvResi,9.1074
northCarolina,hltOil,2025,capaConvResi,3.0071
northDakota,hltOil,2025,capaConvResi,0.9687
ohio,hltOil,2025,capaConvResi,25.3468
oregon,hltOil,2025,capaConvResi,1.4784
pennsylvania,hltOil,2025,capaConvResi,6.2173
rhodeIsland,hltOil,2025,capaConvResi,0.4701
southCarolina,hltOil,2025,capaConvResi,1.4788
southDakota,hltOil,2025,capaConvResi,1.0154
tennessee,hltOil,2025,capaConvResi,2.8825
vermont,hltOil,2025,capaConvResi,0.3321
virginia,hltOil,2025,capaConvResi,2.3225
washington,hltOil,2025,capaConvResi,2.5748
westVirginia,hltOil,2025,capaConvResi,0.967
wisconsin,hltOil,2025,capaConvResi,13.0611
alabama,hltOil,2030,capaConvResi,1.474
california,hltOil,2030,capaConvResi,8.0271
connecticut,hltOil,2030,capaConvResi,0.6612
delaware,hltOil,2030,capaConvResi,0.1883
florida,hltOil,2030,capaConvResi,4.111
georgia,hltOil,2030,capaConvResi,1.8667
illinois,hltOil,2030,capaConvResi,17.4264
indiana,hltOil,2030,capaConvResi,9.311
iowa,hltOil,2030,capaConvResi,2.4353
kansas,hltOil,2030,capaConvResi,2.2291
kentucky,hltOil,2030,capaConvResi,1.3008
maine,hltOil,2030,capaConvResi,0.494
maryland,hltOil,2030,capaConvResi,1.0863
massachusetts,hltOil,2030,capaConvResi,1.9276
michigan,hltOil,2030,capaConvResi,14.9109
minnesota,hltOil,2030,capaConvResi,4.2617
mississippi,hltOil,2030,capaConvResi,0.8642
missouri,hltOil,2030,capaConvResi,4.8821
nebraska,hltOil,2030,capaConvResi,1.4588
newHampshire,hltOil,2030,capaConvResi,0.4217
newJersey,hltOil,2030,capaConvResi,2.6585
newYork,hltOil,2030,capaConvResi,6.0716
northCarolina,hltOil,2030,capaConvResi,2.0047
northDakota,hltOil,2030,capaConvResi,0.6458
ohio,hltOil,2030,capaConvResi,16.8979
oregon,hltOil,2030,capaConvResi,0.9856
pennsylvania,hltOil,2030,capaConvResi,4.1449
rhodeIsland,hltOil,2030,capaConvResi,0.3134
southCarolina,hltOil,2030,capaConvResi,0.9859
southDakota,hltOil,2030,capaConvResi,0.6769
tennessee,hltOil,2030,capaConvResi,1.9217
vermont,hltOil,2030,capaConvResi,0.2214
virginia,hltOil,2030,capaConvResi,1.5484
washington,hltOil,2030,capaConvResi,1.7166
westVirginia,hltOil,2030,capaConvResi,0.6447
wisconsin,hltOil,2030,capaConvResi,8.7074
alabama,hltOil,2035,capaConvResi,0.737
california,hltOil,2035,capaConvResi,4.0136
connecticut,hltOil,2035,capaConvResi,0.3306
delaware,hltOil,2035,capaConvResi,0.0942
florida,hltOil,2035,capaConvResi,2.0555
georgia,hltOil,2035,capaConvResi,0.9334
illinois,hltOil,2035,capaConvResi,8.7132
indiana,hltOil,2035,capaConvResi,4.6555
iowa,hltOil,2035,capaConvResi,1.2177
kansas,hltOil,2035,capaConvResi,1.1146
kentucky,hltOil,2035,capaConvResi,0.6504
maine,hltOil,2035,capaConvResi,0.247
maryland,hltOil,2035,capaConvResi,0.5432
massachusetts,hltOil,2035,capaConvResi,0.9638
michigan,hltOil,2035,capaConvResi,7.4555
minnesota,hltOil,2035,capaConvResi,2.1309
mississippi,hltOil,2035,capaConvResi,0.4321
missouri,hltOil,2035,capaConvResi,2.4411
nebraska,hltOil,2035,capaConvResi,0.7294
newHampshire,hltOil,2035,capaConvResi,0.2109
newJersey,hltOil,2035,capaConvResi,1.3293
newYork,hltOil,2035,capaConvResi,3.0358
northCarolina,hltOil,2035,capaConvResi,1.0024
northDakota,hltOil,2035,capaConvResi,0.3229
ohio,hltOil,2035,capaConvResi,8.449
oregon,hltOil,2035,capaConvResi,0.4928
pennsylvania,hltOil,2035,capaConvResi,2.0725
rhodeIsland,hltOil,2035,capaConvResi,0.1567
southCarolina,hltOil,2035,capaConvResi,0.493
southDakota,hltOil,2035,capaConvResi,0.3385
tennessee,hltOil,2035,capaConvResi,0.9609
vermont,hltOil,2035,capaConvResi,0.1107
virginia,hltOil,2035,capaConvResi,0.7742
washington,hltOil,2035,capaConvResi,0.8583
westVirginia,hltOil,2035,capaConvResi,0.3224
wisconsin,hltOil,2035,capaConvResi,4.3537
